endpoint,allowed_http_methods,argument_count,arguments,return_type,auto_settings_capable,permissions_required,has_doc_string
add_admin,POST,3,player_id|role|description,<class 'bool'>,true,api.can_add_admin_roles,false
add_blacklist_record,POST,5,player_id|blacklist_id|reason|expires_at|admin_name,<class 'rcon.types.BlacklistType'>,true,api.can_add_blacklist_records,true
add_map_to_rotation,POST,2,map_name|after_map_name,None,true,api.can_add_map_to_rotation,false
add_map_to_votemap_whitelist,POST,1,map_name,,true,api.can_add_map_to_whitelist,false
add_maps_to_rotation,POST,1,map_names,,true,api.can_add_maps_to_rotation,true
add_maps_to_votemap_whitelist,POST,1,map_names,,true,api.can_add_maps_to_whitelist,false
add_message_template,POST,4,title|content|category|by,<class 'int'>,true,api.can_add_message_templates,true
add_vip,POST,3,player_id|description|expiration,<class 'bool'>,true,api.can_add_vip,true
ban_profanities,POST,1,profanities,<class 'bool'>,true,api.can_ban_profanities,false
clear_cache,POST,0,,<class 'bool'>,true,api.can_clear_crcon_cache,true
create_blacklist,POST,3,name|sync|servers,,true,api.can_create_blacklists,true
delete_blacklist,POST,1,blacklist_id,,true,api.can_delete_blacklists,true
delete_blacklist_record,POST,1,record_id,<class 'bool'>,true,api.can_delete_blacklist_records,true
delete_message_template,POST,1,id,<class 'bool'>,true,api.can_delete_message_templates,true
describe_admin_pings_discord_webhooks_config,GET,0,,,false,,false
describe_audit_discord_webhooks_config,GET,0,,,false,,false
describe_auto_broadcasts_config,GET,0,,,false,,false
describe_auto_mod_level_config,GET,0,,,false,,false
describe_auto_mod_no_leader_config,GET,0,,,false,,false
describe_auto_mod_seeding_config,GET,0,,,false,,false
describe_auto_mod_solo_tank_config,GET,0,,,false,,false
describe_camera_discord_webhooks_config,GET,0,,,false,,false
describe_camera_notification_config,GET,0,,,false,,false
describe_chat_commands_config,GET,0,,,false,,false
describe_chat_discord_webhooks_config,GET,0,,,false,,false
describe_expired_vip_config,GET,0,,,false,,false
describe_kills_discord_webhooks_config,GET,0,,,false,,false
describe_log_line_webhook_config,GET,0,,,false,,false
describe_log_stream_config,GET,0,,,false,,false
describe_name_kick_config,GET,0,,,false,,false
describe_rcon_chat_commands_config,GET,0,,,false,,false
describe_rcon_connection_settings_config,GET,0,,,false,,false
describe_rcon_server_settings_config,GET,0,,,false,,false
describe_real_vip_config,GET,0,,,false,,false
